Категория;URL категории;Подкатегория;URL подкатегории
"Правовое регулирование строительной деятельности";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=129";"";""
"ЖКХ. Городское хозяйство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=92";"";""
"Ремонт и эксплуатация зданий и сооружений";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=93";"";""
"Управление и эксплуатация недвижимости";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=23";"";""
"Экология";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=38";"";""
"Недропользование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=155";"";""
"Землепользование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=54";"";""
"Трудовое право. Кадровое делопроизводство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=161";"Трудовое право";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=33"
"Трудовое право. Кадровое делопроизводство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=161";"Кадровое делопроизводство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=157"
"HR-технологии. Управление персоналом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=162";"Управление персоналом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=105"
"HR-технологии. Управление персоналом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=162";"HR-технологии";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=158"
"HR-технологии. Управление персоналом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=162";"Оценка и обучение персонала";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=159"
"HR-технологии. Управление персоналом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=162";"Мотивация персонала";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=160"
"Работа с руководителем";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=107";"";""
