SKU%Parent%Name%Short description%Description%Sale price%Regular price%Images%Categories%Attribute 1 name%Attribute 1 value(s)%Attribute 1 default%Attribute 1 global%Attribute 2 name%Attribute 2 value(s)%Attribute 2 default%Attribute 2 global%Type%Stock
370135947921%%Полукомбинезон Snow "Фуксия"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor3164-3732-4637-b735-666535383533/19683135.jpg,https://static.tildacdn.com/stor3261-6461-4566-a437-636666313432/24983014.jpg,https://static.tildacdn.com/stor3537-3534-4638-b336-326364316563/91575564.jpg,https://static.tildacdn.com/stor3665-6363-4338-b363-636432663235/82453542.jpg,https://static.tildacdn.com/stor3362-3737-4430-b739-653530653362/26623624.jpg,https://static.tildacdn.com/stor3739-3565-4832-b630-346262383830/56987415.jpg,https://static.tildacdn.com/stor6236-3165-4638-a531-653232663161/95118283.jpg,https://static.tildacdn.com/stor3565-3637-4737-b963-346539316233/95300495.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%фуксия%фуксия%variable%
128823293721%370135947921%%%%%15 900.00%%%Размер%XS%%1%Цвет%фуксия%%1%variation%0
972097621921%370135947921%%%%%15 900.00%%%Размер%S%%1%Цвет%фуксия%%1%variation%0
669653102151%370135947921%%%%%15 900.00%%%Размер%M%%1%Цвет%фуксия%%1%variation%0
709388226601%370135947921%%%%%15 900.00%%%Размер%L%%1%Цвет%фуксия%%1%variation%0
724992819451%370135947921%%%%%15 900.00%%%Размер%XL%%1%Цвет%фуксия%%1%variation%0
159834839041%%Полукомбинезон Snow "Серый"%softshell%<strong>Полукомбинезон Snow </strong><br /><strong>Версия 3.0</strong><br /><br /><strong>Ткань: </strong>Softshell 10К/5К<br /><strong>Детали:</strong><br /><ul><li>утепленный подкладом</li><li>утепленные синтепоном ягодицы и колени</li><li>водонепроницаемые молнии на вентиляции</li><li>утяжки ширины талии на липучках</li><li>3 утепленных кармана (на груди и побокам)</li><li>&nbsp;«юбка» на штанинах</li></ul>%%%https://static.tildacdn.com/stor3537-3434-4966-b539-663031393433/82382711.jpg,https://static.tildacdn.com/stor3036-3330-4331-a364-393339353164/69869255.jpg,https://static.tildacdn.com/stor6236-6263-4336-a565-343665613732/84284609.jpg,https://static.tildacdn.com/stor3539-3564-4932-b531-636635626561/61004832.jpg,https://static.tildacdn.com/stor6132-3636-4466-b134-643734306166/20928512.jpg,https://static.tildacdn.com/stor6635-3835-4530-a463-303665316561/99688841.jpg,https://static.tildacdn.com/stor3139-3439-4766-b130-396230323839/21987431.jpg,https://static.tildacdn.com/stor6233-6366-4533-b263-396264646139/84699224.jpg%polukombinezony%Размер%XS,S,M,L,XL%XS%Цвет%серый%серый%variable%
223891755241%159834839041%%%%%15 900.00%%%Размер%XS%%1%Цвет%серый%%1%variation%0
997141246991%159834839041%%%%%15 900.00%%%Размер%S%%1%Цвет%серый%%1%variation%0
807953047491%159834839041%%%%%15 900.00%%%Размер%M%%1%Цвет%серый%%1%variation%0
